bin1_Midline,bin2_Midline,bin3_Midline,bin4_Midline,bin5_Midline,bin6_Midline,bin7_Midline,bin8_Midline,ERPset
1.542,2.003,1.411,4.082,2.952,4.875,3.332,2.872,1_SML_diff
10.981,13.643,12.813,12.798,15.189,14.102,3.121,0.460,9_SML_diff
3.645,4.480,3.590,4.181,3.857,5.405,1.760,0.924,11_SML_diff
4.708,4.594,3.083,3.684,4.643,4.536,-0.173,-0.058,15_SML_diff
3.996,4.805,2.453,3.513,3.797,5.350,1.355,0.545,22_SML_diff
5.365,1.919,3.965,5.316,5.361,4.695,-0.670,2.776,23_SML_diff
3.344,3.596,3.223,3.238,3.727,3.365,0.021,-0.230,27_SML_diff
6.753,5.426,7.016,5.874,6.963,7.459,0.707,2.033,28_SML_diff
5.154,4.779,4.317,4.576,4.940,5.961,0.806,1.182,32_SML_diff
